arm	task	model	num_turns	input_tokens	cache_creation	cache_read	output_tokens	total_tokens	cost_usd	duration_ms	is_error
native-naive	messy-scale-8q.md	default	15	5177	40884	245665	12041	303767	2.1419805	250751	false
pincher-mcp-core-lean	messy-scale-8q.md	default	31	2923	45786	521956	10818	581483	2.007806	182550	false
